y,x,radius
263.115709235528,284.7010605391074,3.0
251.79003535130357,288.8194874060981,3.0
222.9610472823685,261.0201060539108,3.0
319.74407865665046,228.072691117985,3.0
211.635373398144,44.80269553689793,3.0
173.53992487847984,49.95072912063634,3.0
156.03661069376932,341.32942996022985,3.0
145.74054352629247,337.2110030932391,3.0
146.77015024304018,437.08285461776404,3.0
218.84262041537778,375.3064516129033,3.0
223.9906539991162,404.1354396818383,3.0
214.72419354838706,354.7143172779497,3.0
139.5629032258064,410.3130799823243,3.0
308.41840477242596,95.25342465753425,3.0
250.76042863455586,272.34577993813525,3.0
193.10245249668577,305.293194874061,3.0
59.25357931948736,200.27330976579762,3.0
39.69105170128148,332.0629695095007,3.0
24.246950950066207,307.3524083075564,3.0
28.365377817056924,179.68117543084404,3.0
312.5368316394167,298.08594785682726,3.0
267.23413610251873,5.67764030048609,3.0
236.34593460008836,128.20083959346002,3.0
