Node1,Node2
"(395.0, 212.0)","(404.1354396818383, 223.9906539991162)"
"(212.0, 127.0)","(217.0, 146.0)"
"(212.0, 127.0)","(195.0, 121.0)"
"(212.0, 127.0)","(225.0, 118.0)"
"(0.0, 129.0)","(15.0, 128.0)"
"(0.0, 129.0)","(8.0, 114.0)"
"(333.0, 67.0)","(347.0, 75.0)"
"(333.0, 67.0)","(321.0, 79.0)"
"(117.0, 141.0)","(119.0, 156.0)"
"(117.0, 141.0)","(125.0, 126.0)"
"(117.0, 141.0)","(100.0, 141.0)"
"(404.0, 63.0)","(414.0, 47.0)"
"(404.0, 63.0)","(389.0, 64.0)"
"(88.0, 16.0)","(81.0, 0.0)"
"(88.0, 16.0)","(71.0, 15.0)"
"(88.0, 16.0)","(96.0, 31.0)"
"(289.0, 157.0)","(295.0, 167.0)"
"(289.0, 157.0)","(299.0, 140.0)"
"(289.0, 157.0)","(273.0, 159.0)"
"(393.0, 25.0)","(409.0, 30.0)"
"(393.0, 25.0)","(382.513698630137, 34.543018117543056)"
"(186.0, 309.0)","(172.0, 315.0)"
"(186.0, 309.0)","(199.0, 318.0)"
"(186.0, 309.0)","(188.0, 294.0)"
"(21.0, 265.0)","(34.0, 252.0)"
"(21.0, 265.0)","(27.0, 281.0)"
"(21.0, 265.0)","(5.67764030048609, 267.23413610251873)"
"(81.0, 0.0)","(71.0, 15.0)"
"(0.0, 28.0)","(0.0, 11.0)"
"(323.0, 98.0)","(321.0, 79.0)"
"(323.0, 98.0)","(313.0, 106.0)"
"(323.0, 98.0)","(339.27021652673443, 101.46745470614223)"
"(136.0, 208.0)","(133.0, 189.0)"
"(136.0, 208.0)","(151.0, 211.0)"
"(136.0, 208.0)","(124.0, 223.0)"
"(0.0, 177.0)","(0.0, 165.0)"
"(0.0, 177.0)","(18.0, 172.0)"
"(225.0, 337.0)","(208.0, 337.0)"
"(225.0, 337.0)","(228.072691117985, 319.74407865665046)"
"(276.0, 321.0)","(286.0, 325.0)"
"(236.0, 39.0)","(244.0, 24.0)"
"(236.0, 39.0)","(245.57600530269556, 56.16475916924435)"
"(236.0, 39.0)","(222.92465753424662, 42.77987185152449)"
"(163.0, 115.0)","(171.0, 132.0)"
"(163.0, 115.0)","(145.0, 117.0)"
"(163.0, 115.0)","(172.0, 101.0)"
"(133.0, 189.0)","(115.0, 183.0)"
"(133.0, 189.0)","(138.4969067609368, 175.5991383119752)"
"(133.0, 19.0)","(118.0, 17.0)"
"(133.0, 19.0)","(138.0, 36.0)"
"(133.0, 19.0)","(141.0, 9.0)"
"(43.0, 15.0)","(35.0, 0.0)"
"(43.0, 15.0)","(52.0, 32.0)"
"(43.0, 15.0)","(26.0, 10.0)"
"(213.0, 312.0)","(215.0, 293.0)"
"(213.0, 312.0)","(199.0, 318.0)"
"(213.0, 312.0)","(228.072691117985, 319.74407865665046)"
"(347.0, 32.0)","(343.0, 14.0)"
"(347.0, 32.0)","(362.95117101193114, 37.631838267786065)"
"(347.0, 32.0)","(332.0629695095007, 39.69105170128148)"
"(86.0, 320.0)","(68.0, 320.0)"
"(86.0, 320.0)","(84.0, 337.0)"
"(86.0, 320.0)","(95.25342465753425, 308.41840477242596)"
"(193.0, 70.0)","(200.0, 88.0)"
"(193.0, 70.0)","(174.53314184710564, 69.5496464869642)"
"(193.0, 70.0)","(200.27330976579762, 59.25357931948736)"
"(286.0, 325.0)","(298.08594785682726, 312.5368316394167)"
"(36.0, 201.0)","(20.0, 210.0)"
"(36.0, 201.0)","(44.80269553689793, 211.635373398144)"
"(130.0, 50.0)","(116.0, 47.0)"
"(130.0, 50.0)","(134.0, 66.0)"
"(130.0, 50.0)","(138.0, 36.0)"
"(39.0, 316.0)","(26.0, 315.0)"
"(39.0, 316.0)","(49.0, 299.0)"
"(403.0, 159.0)","(387.0, 160.0)"
"(403.0, 159.0)","(411.0, 170.0)"
"(382.0, 113.0)","(365.0, 113.0)"
"(382.0, 113.0)","(388.0, 98.0)"
"(382.0, 113.0)","(390.0, 129.0)"
"(215.0, 293.0)","(204.0, 280.0)"
"(215.0, 293.0)","(230.0, 283.0)"
"(383.0, 81.0)","(370.0, 79.0)"
"(383.0, 81.0)","(389.0, 64.0)"
"(383.0, 81.0)","(388.0, 98.0)"
"(403.0, 99.0)","(415.0, 115.0)"
"(403.0, 99.0)","(414.0, 83.0)"
"(403.0, 99.0)","(388.0, 98.0)"
"(303.0, 243.0)","(312.0, 257.0)"
"(303.0, 243.0)","(307.0, 227.0)"
"(303.0, 243.0)","(288.8194874060981, 251.79003535130357)"
"(44.0, 73.0)","(57.0, 84.0)"
"(44.0, 73.0)","(50.0, 56.0)"
"(314.0, 138.0)","(320.0, 148.0)"
"(314.0, 138.0)","(318.0, 121.0)"
"(314.0, 138.0)","(299.0, 140.0)"
"(295.0, 14.0)","(279.0, 20.0)"
"(295.0, 14.0)","(307.3524083075564, 24.246950950066207)"
"(238.0, 128.0)","(245.0, 114.0)"
"(238.0, 128.0)","(241.0, 145.0)"
"(238.0, 128.0)","(225.0, 118.0)"
"(374.0, 266.0)","(382.0, 248.0)"
"(374.0, 266.0)","(382.0, 283.0)"
"(367.0, 293.0)","(359.0, 286.0)"
"(367.0, 293.0)","(382.0, 283.0)"
"(254.0, 333.0)","(250.0, 314.0)"
"(261.0, 114.0)","(245.0, 114.0)"
"(261.0, 114.0)","(273.0, 128.0)"
"(261.0, 114.0)","(268.22735307114453, 103.52666813963765)"
"(77.0, 129.0)","(67.0, 115.0)"
"(77.0, 129.0)","(93.0, 127.0)"
"(77.0, 129.0)","(67.0, 145.0)"
"(292.0, 275.0)","(307.0, 275.0)"
"(292.0, 275.0)","(284.7010605391074, 263.115709235528)"
"(139.0, 91.0)","(136.0, 103.0)"
"(139.0, 91.0)","(154.0, 83.0)"
"(139.0, 91.0)","(128.0, 78.0)"
"(359.0, 286.0)","(340.0, 287.0)"
"(335.0, 119.0)","(343.0, 127.0)"
"(335.0, 119.0)","(318.0, 121.0)"
"(335.0, 119.0)","(339.27021652673443, 101.46745470614223)"
"(0.0, 337.0)","(13.0, 325.0)"
"(0.0, 337.0)","(13.0, 337.0)"
"(218.0, 169.0)","(231.0, 182.0)"
"(218.0, 169.0)","(207.0, 169.0)"
"(218.0, 169.0)","(230.0, 154.0)"
"(280.0, 38.0)","(279.0, 20.0)"
"(280.0, 38.0)","(288.0, 48.0)"
"(280.0, 38.0)","(266.0, 39.0)"
"(321.0, 23.0)","(327.0, 10.0)"
"(321.0, 23.0)","(307.3524083075564, 24.246950950066207)"
"(456.0, 93.0)","(439.0, 94.0)"
"(456.0, 93.0)","(465.0, 100.0)"
"(197.0, 337.0)","(199.0, 318.0)"
"(197.0, 337.0)","(208.0, 337.0)"
"(370.0, 79.0)","(359.0, 67.0)"
"(0.0, 165.0)","(18.0, 172.0)"
"(0.0, 165.0)","(16.0, 158.0)"
"(381.0, 50.0)","(366.0, 52.0)"
"(381.0, 50.0)","(389.0, 64.0)"
"(381.0, 50.0)","(382.513698630137, 34.543018117543056)"
"(210.0, 227.0)","(194.0, 235.0)"
"(210.0, 227.0)","(214.0, 210.0)"
"(210.0, 227.0)","(221.0, 238.0)"
"(296.0, 184.0)","(283.0, 194.0)"
"(296.0, 184.0)","(295.0, 167.0)"
"(296.0, 184.0)","(305.293194874061, 193.10245249668577)"
"(263.0, 282.0)","(270.0, 268.0)"
"(263.0, 282.0)","(268.0, 301.0)"
"(263.0, 282.0)","(251.0, 279.0)"
"(171.0, 132.0)","(162.0, 147.0)"
"(171.0, 132.0)","(187.0, 133.0)"
"(442.0, 221.0)","(450.0, 203.0)"
"(442.0, 221.0)","(452.0, 232.0)"
"(354.0, 158.0)","(357.0, 175.0)"
"(354.0, 158.0)","(341.32942996022985, 156.03661069376932)"
"(240.0, 309.0)","(250.0, 314.0)"
"(240.0, 309.0)","(240.0, 293.0)"
"(240.0, 309.0)","(228.072691117985, 319.74407865665046)"
"(151.0, 211.0)","(152.0, 229.0)"
"(84.0, 180.0)","(68.0, 172.0)"
"(84.0, 180.0)","(93.0, 167.0)"
"(109.0, 170.0)","(119.0, 156.0)"
"(109.0, 170.0)","(115.0, 183.0)"
"(109.0, 170.0)","(93.0, 167.0)"
"(76.0, 244.0)","(59.0, 239.0)"
"(76.0, 244.0)","(75.0, 263.0)"
"(76.0, 244.0)","(82.0, 230.0)"
"(401.0, 240.0)","(412.0, 248.0)"
"(401.0, 240.0)","(404.1354396818383, 223.9906539991162)"
"(67.0, 115.0)","(50.0, 114.0)"
"(414.0, 47.0)","(427.0, 46.0)"
"(414.0, 47.0)","(409.0, 30.0)"
"(187.0, 105.0)","(195.0, 121.0)"
"(187.0, 105.0)","(172.0, 101.0)"
"(332.0, 278.0)","(315.0, 285.0)"
"(332.0, 278.0)","(340.0, 287.0)"
"(142.0, 129.0)","(147.0, 147.0)"
"(142.0, 129.0)","(125.0, 126.0)"
"(142.0, 129.0)","(145.0, 117.0)"
"(93.0, 74.0)","(104.0, 61.0)"
"(93.0, 74.0)","(82.0, 82.0)"
"(93.0, 74.0)","(106.57909854175875, 82.93453380468407)"
"(347.0, 228.0)","(331.0, 233.0)"
"(347.0, 228.0)","(355.0, 240.0)"
"(347.0, 228.0)","(354.7143172779497, 214.72419354838706)"
"(300.0, 214.0)","(290.0, 212.0)"
"(300.0, 214.0)","(307.0, 227.0)"
"(66.0, 59.0)","(73.0, 45.0)"
"(66.0, 59.0)","(50.0, 56.0)"
"(66.0, 59.0)","(70.0, 72.0)"
"(133.0, 160.0)","(119.0, 156.0)"
"(133.0, 160.0)","(147.0, 147.0)"
